stationCode,stationName,name,stationAddrtw,stationTel,gps,haveBike
900,基隆,基隆,,02-24263743,25.13411 121.73997,Y
910,三坑,三坑,,02-24230289,25.12305 121.74202,Y
920,八堵,八堵,,02-24560841,25.10843 121.72898,Y
930,七堵,七堵,,02-24553426,25.09294 121.71415,Y
940,百福,百福,,02-24528372,25.07795 121.69379,N
950,五堵,五堵,,02-86476200,25.07784 121.66764,Y
960,汐止,汐止,,02-26415096,25.06814 121.66121,Y
970,汐科,汐科,,02-26499817#8730,25.06261 121.64659,N
980,南港,南港,,02-27838645,25.05348 121.60706,Y
990,松山,松山,,02-27673819,25.04921 121.57841,Y
1000,臺北,臺北,,02-23713558,25.04771 121.51784,N
1001,臺北-環島,臺北-環島,,,25.04811 121.51793,N
1010,萬華,萬華,,02-23020481,25.03348 121.49984,Y
1020,板橋,板橋,,02-89691036,25.01404 121.46403,Y
1030,浮洲,浮洲,,02-23815226#4665,25.00419 121.44477,N
1040,樹林,樹林,,02-26812052,24.99121 121.42481,Y
1050,南樹林,南樹林,,02-26812052,24.98034 121.40891,N
1060,山佳,山佳,,02-26808874,24.97233 121.39273,N
1070,鶯歌,鶯歌,,02-26792004,24.95432 121.35535,Y
1080,桃園,桃園,,03-3767050,24.98941 121.31399,Y
1090,內壢,內壢,,03-4559725,24.97281 121.25826,N
1100,中壢,中壢,,03-4223235,24.95364 121.22559,Y
1110,埔心,埔心,,03-4827100,24.91945 121.18366,Y
1120,楊梅,楊梅,,03-4782893,24.91434 121.14645,Y
1130,富岡,富岡,,03-4723754,24.93456 121.08304,Y
1140,新富,新富,,03-4723754,24.93107 121.06759,N
1150,北湖,北湖,,03-5993850,24.92191 121.05586,Y
1160,湖口,湖口,,03-5992192,24.90292 121.04412,Y
1170,新豐,新豐,,03-5596314,24.86961 120.99654,Y
1180,竹北,竹北,,03-5552024,24.83892 121.00936,Y
1190,北新竹,北新竹,,03-5237441,25.07794 121.69378,N
1191,千甲,千甲,,03-5237441,24.80669 121.00301,N
1192,新莊,新莊,,03-5237441,24.78819 121.02182,N
1193,竹中,竹中,,03-5962042,24.78141 121.03138,N
1194,六家,六家,,03-5962042,24.80766 121.03941,N
1201,上員,上員,,03-5962042,24.77776 121.05582,N
1202,榮華,榮華,,03-5962042,24.74839 121.08319,N
1203,竹東,竹東,,03-5962042,24.73823 121.09472,N
1204,橫山,橫山,,03-5962042,24.72041 121.11772,N
1205,九讚頭,九讚頭,,03-5962042,24.72062 121.13622,N
1206,合興,合興,,03-5962042,24.71667 121.15437,N
1207,富貴,富貴,,03-5962042,24.71559 121.16732,N
1208,內灣,內灣,,03-5962042,24.70535 121.18255,N
1210,新竹,新竹,,03-5237441,24.80172 120.97166,Y
1220,三姓橋,三姓橋,,03-5237441,24.78734 120.92846,Y
1230,香山,香山,,03-5237441,24.76321 120.91391,Y
1240,崎頂,崎頂,,037-472030,24.72291 120.87183,N
1250,竹南,竹南,,037-472030,24.68663 120.88041,Y
2110,談文,談文,,037-472030,24.65641 120.85825,N
2120,大山,大山,,037-431208,24.64565 120.80376,N
2130,後龍,後龍,,037-728616,24.61621 120.78731,Y
2140,龍港,龍港,,037-728616,24.61169 120.75812,N
2150,白沙屯,白沙屯,,037-793066,24.56481 120.70824,Y
2160,新埔,新埔,,037-793066,24.54018 120.69518,N
2170,通霄,通霄,,037-758300,24.49141 120.67843,Y
2180,苑裡,苑裡,,037-851013,24.44344 120.65146,Y
2190,日南,日南,,04-26816113,24.37805 120.65412,Y
2200,大甲,大甲,,04-26872022,24.34448 120.62702,Y
2210,臺中港,臺中港,,04-26225374,24.30441 120.60231,N
2220,清水,清水,,04-26222021,24.26364 120.56918,Y
2230,沙鹿,沙鹿,,04-26625057,24.23702 120.55752,Y
2240,龍井,龍井,,04-26355578,24.19748 120.54335,Y
2250,大肚,大肚,,04-26992523,24.15441 120.54255,Y
2260,追分,追分,,04-26933106,24.12051 120.57018,N
3140,造橋,造橋,,037-472030,24.64186 120.86721,N
3150,豐富,豐富,,037-726700,24.60442 120.82636,Y
3160,苗栗,苗栗,,037-260031,24.57008 120.82233,Y
3170,南勢,南勢,,037-260031,24.52268 120.79154,N
3180,銅鑼,銅鑼,,037-983838,24.48648 120.78616,Y
3190,三義,三義,,037-874763,24.42066 120.77393,Y
3210,泰安,泰安,,04-25586540,24.33146 120.74181,N
3220,后里,后里,,04-25562038,24.30933 120.73288,Y
3230,豐原,豐原,,04-25207950#32,24.25431 120.72351,Y
3240,栗林,栗林,,04-25391401,24.23481 120.71069,Y
3250,潭子,潭子,,04-25363852,24.21255 120.70584,Y
3260,頭家厝,頭家厝,,04-25391426,24.19572 120.70398,N
3270,松竹,松竹,,04-22473033,24.18045 120.70197,Y
3280,太原,太原,,04-22313926,24.16449 120.69988,Y
3290,精武,精武,,04-23606501,24.14928 120.69777,Y
3300,臺中,臺中,,04-22227236,24.13747 120.68691,Y
3310,五權,五權,,04-22601636,24.12892 120.66657,Y
3320,大慶,大慶,,04-22637940,24.11911 120.64795,Y
3330,烏日,烏日,,04-23381071,24.10867 120.62244,N
3340,新烏日,新烏日,,04-23376883,24.10937 120.61421,Y
3350,成功,成功,,04-23371986,24.11424 120.59021,Y
3360,彰化,彰化,,04-7274218#11,24.08177 120.53854,Y
3370,花壇,花壇,,04-7881418,24.08173 120.53833,Y
3380,大村,大村,,04-8525148,23.99003 120.56068,N
3390,員林,員林,,04-8320544#15,23.95932 120.56982,Y
3400,永靖,永靖,,04-8320544#15,23.92817 120.57167,N
3410,社頭,社頭,,04-8711646,23.89571 120.58082,Y
3420,田中,田中,,04-8742142,23.85827 120.59121,Y
3430,二水,二水,,04-8792027,23.81321 120.61805,Y
3431,源泉,源泉,,04-8792027,23.79846 120.64208,N
3432,濁水,濁水,,049-2735850,23.83467 120.70467,N
3433,龍泉,龍泉,,04-8792027,23.83521 120.74996,N
3434,集集,集集,,049-2762546,23.82653 120.78491,N
3435,水里,水里,,049-2770015,23.81851 120.85331,N
3436,車埕,車埕,,049-2774749,23.83263 120.86572,N
3450,林內,林內,,05-5892040,23.75967 120.61499,Y
3460,石榴,石榴,,05-5332900,23.73167 120.57998,N
3470,斗六,斗六,,05-5332900,23.71157 120.54117,Y
3480,斗南,斗南,,05-5972039,23.67269 120.48072,Y
3490,石龜,石龜,,05-5972039,23.63951 120.47106,N
4050,大林,大林,,05-2654804,23.60112 120.45585,Y
4060,民雄,民雄,,05-2264272,23.55502 120.43136,Y
4070,嘉北,嘉北,,05-2334584,23.49985 120.44852,N
4080,嘉義,嘉義,,05-2228904,23.47902 120.44124,Y
4090,水上,水上,,05-2228904,23.43389 120.39961,N
4100,南靖,南靖,,05-2601232,23.41346 120.38647,N
4110,後壁,後壁,,06-6872055,23.36626 120.36058,N
4120,新營,新營,,06-6322104,23.30673 120.32307,Y
4130,柳營,柳營,,06-6226450,23.27762 120.32252,N
4140,林鳳營,林鳳營,,06-6986086,23.24259 120.32107,N
4150,隆田,隆田,,06-5791664,23.19271 120.31917,Y
4160,拔林,拔林,,06-5791664,23.17287 120.32117,N
4170,善化,善化,,06-5837301,23.13333 120.30653,Y
4180,南科,南科,,06-5896356,23.10714 120.30175,N
4190,新市,新市,,06-5996911,23.06816 120.29004,Y
4200,永康,永康,,06-2323305,23.03825 120.25347,Y
4210,大橋,大橋,,06-3021755,23.01923 120.22429,N
4220,臺南,臺南,,06-2261314,22.99719 120.21249,Y
4250,保安,保安,,06-2665988,22.93296 120.23158,Y
4260,仁德,仁德,,06-2669383,22.92364 120.24061,N
4270,中洲,中洲,,06-2667191,22.90466 120.25286,Y
4271,長榮大學,長榮大學,,06-2782615,22.90735 120.27274,N
4272,沙崙,沙崙,,06-3032686,22.92419 120.28635,N
4290,大湖,大湖,,07-6932127,22.87821 120.25384,Y
4300,路竹,路竹,,07-6072723,22.85404 120.26619,Y
4310,岡山,岡山,,07-6212074,22.79224 120.29991,Y
4320,橋頭,橋頭,,07-6115424,22.76098 120.31011,Y
4330,楠梓,楠梓,,07-3510175,22.72717 120.32453,Y
4340,新左營,新左營,,07-5887825,22.68754 120.30678,Y
4350,左營,左營,,07-5887835,22.67447 120.29401,N
4360,內惟,內惟,,07-5886119,22.66592 120.28711,N
4370,美術館,美術館,,07-5215147,22.65235 120.28153,Y
4380,鼓山,鼓山,,07-5217014,22.64203 120.28076,N
4390,三塊厝,三塊厝,,07-2856234,22.63936 120.29407,N
4400,高雄,高雄,,07-2352376,22.63965 120.30264,Y
4410,民族,民族,,07-2231492,22.63911 120.31491,N
4420,科工館,科工館,,07-2234778,22.63732 120.32606,N
4430,正義,正義,,07-7999818,22.63425 120.34245,N
4440,鳳山,鳳山,,07-7460423,22.63131 120.35746,Y
4450,後庄,後庄,,07-7020149,22.64013 120.39132,N
4460,九曲堂,九曲堂,,07-6512020,22.65658 120.42072,Y
4470,六塊厝,六塊厝,,08-7515140,22.66597 120.46497,N
5000,屏東,屏東,,08-7515140,22.66895 120.48608,Y
5010,歸來,歸來,,08-7515140,22.65218 120.50283,N
5020,麟洛,麟洛,,08-7515140,22.63481 120.51432,N
5030,西勢,西勢,,08-7784521,22.61661 120.52677,Y
5040,竹田,竹田,,08-7711002,22.58648 120.54009,N
5050,潮州,潮州,,08-7882739,22.55007 120.53662,Y
5060,崁頂,崁頂,,08-7882739,22.51311 120.51481,N
5070,南州,南州,,08-8642942,22.49207 120.51174,Y
5080,鎮安,鎮安,,08-8642942,22.45794 120.51151,N
5090,林邊,林邊,,08-8751475,22.43141 120.51538,Y
5100,佳冬,佳冬,,08-8662939,22.41416 120.54782,N
5110,東海,東海,,08-8782041,22.39903 120.57252,N
5120,枋寮,枋寮,,08-8782041,22.36786 120.59501,Y
5130,加祿,加祿,,08-8720791,22.33085 120.62445,Y
5140,內獅,內獅,,08-8720791,22.30615 120.64322,N
5160,枋山,枋山,,08-8720791,22.26677 120.65968,N
5170,枋野,枋野,,08-8761953,22.28091 120.71709,N
5190,大武,大武,,089-792056,22.36523 120.90081,Y
5200,瀧溪,瀧溪,,089-761482,22.46102 120.94176,Y
5210,金崙,金崙,,089-771068,22.53161 120.96721,Y
5220,太麻里,太麻里,,089-781544,22.61881 121.00502,Y
5230,知本,知本,,089-514482,22.71022 121.06068,Y
5240,康樂,康樂,,089-383107,22.76431 121.09355,Y
5998,南方小站,南方小站,,,22.52755 120.53658,N
5999,潮州基地,潮州基地,,08-7889880,22.52231 120.52642,N
6000,臺東,臺東,,089-229687,22.79376 121.12311,Y
6010,山里,山里,,089-572370,22.86194 121.13778,N
6020,鹿野,鹿野,,089-550217,22.91251 121.13696,Y
6030,瑞源,瑞源,,089-580159,22.95613 121.15902,Y
6040,瑞和,瑞和,,089-580159,22.98111 121.15584,N
6050,關山,關山,,089-811033,23.04564 121.16441,Y
6060,海端,海端,,089-811033,23.10292 121.17676,N
6070,池上,池上,,089-862097,23.12605 121.21956,Y
6080,富里,富里,,03-8831771,23.17916 121.24865,Y
6090,東竹,東竹,,03-8821504,23.22605 121.27842,Y
6100,東里,東里,,03-8861005,23.27233 121.30425,Y
6110,玉里,玉里,,03-8882020,23.33154 121.31172,Y
6120,三民,三民,,03-8841847,23.42455 121.34541,N
6130,瑞穗,瑞穗,,03-8875039,23.49741 121.37684,Y
6140,富源,富源,,03-8811824,23.58031 121.38008,Y
6150,大富,大富,,03-8811824,23.60571 121.38963,N
6160,光復,光復,,03-8704143,23.66631 121.42116,Y
6170,萬榮,萬榮,,03-8752175,23.71199 121.41907,Y
6180,鳳林,鳳林,,03-8762004,23.74636 121.44711,Y
6190,南平,南平,,03-8771597,23.78231 121.45824,Y
6200,林榮新光,林榮新光,,03-8772677,23.80225 121.46205,Y
6210,豐田,豐田,,03-8654251,23.84842 121.49618,N
6220,壽豐,壽豐,,03-8653706,23.86901 121.51064,Y
6230,平和,平和,,03-8653706,23.88279 121.52045,N
6240,志學,志學,,03-8662966,23.90751 121.52947,Y
6250,吉安,吉安,,03-8539423,23.96817 121.58267,Y
7000,花蓮,花蓮,,03-8355941,23.99264 121.60158,Y
7010,北埔,北埔,,03-8263809,24.03253 121.60166,N
7020,景美,景美,,03-8611237,24.09039 121.61193,N
7030,新城,新城,,03-8611237,24.12754 121.64087,Y
7040,崇德,崇德,,03-8621365,24.17199 121.65536,Y
7050,和仁,和仁,,03-8681221,24.24219 121.71192,N
7060,和平,和平,,03-8681009,24.29831 121.75334,Y
7070,漢本,漢本,,03-9985238,24.33542 121.76829,N
7080,武塔,武塔,,03-9981971,24.44879 121.77601,N
7090,南澳,南澳,,03-9981971,24.46342 121.80103,Y
7100,東澳,東澳,,03-9986053,24.51827 121.83072,Y
7110,永樂,永樂,,03-9961889,24.56843 121.84458,N
7120,蘇澳,蘇澳,,03-9962028,24.59516 121.85143,Y
7130,蘇澳新,蘇澳新,,03-9961004,24.60852 121.82735,Y
7140,新馬,新馬,,03-9961004,24.61535 121.82292,N
7150,冬山,冬山,,03-9594221,24.63633 121.79211,Y
7160,羅東,羅東,,03-9542117,24.67795 121.77424,Y
7170,中里,中里,,03-9542117,24.69415 121.77526,N
7180,二結,二結,,03-9650304,24.70528 121.77409,N
7190,宜蘭,宜蘭,,03-9323801,24.75462 121.75791,Y
7200,四城,四城,,03-9282449,24.78681 121.76271,N
7210,礁溪,礁溪,,03-9886940,24.82703 121.77535,Y
7220,頂埔,頂埔,,03-9771429,24.84398 121.80917,N
7230,頭城,頭城,,03-9771429,24.85898 121.82253,Y
7240,外澳,外澳,,03-9771429,24.88367 121.84581,N
7250,龜山,龜山,,03-9770351,24.90486 121.86891,N
7260,大溪,大溪,,03-9771429,24.93834 121.88991,N
7270,大里,大里,,03-9781171,24.96688 121.92257,N
7280,石城,石城,,03-9771429,24.97832 121.94507,N
7290,福隆,福隆,,02-24991800,25.01595 121.94471,Y
7300,貢寮,貢寮,,02-24941500,25.02209 121.90868,Y
7310,雙溪,雙溪,,02-24932980,25.03867 121.86648,Y
7320,牡丹,牡丹,,02-24932980,25.05873 121.85194,N
7330,三貂嶺,三貂嶺,,02-24977896,25.06561 121.82258,N
7331,大華,大華,,02-24972033,25.04993 121.79751,N
7332,十分,十分,,02-24958307,25.04111 121.77514,N
7333,望古,望古,,02-24972033,25.03445 121.76349,N
7334,嶺腳,嶺腳,,02-24972033,25.03021 121.74794,N
7335,平溪,平溪,,02-24972033,25.02552 121.73994,N
7336,菁桐,菁桐,,02-24972033,25.02384 121.72394,N
7350,猴硐,猴硐,,02-24977747,25.08711 121.82741,Y
7360,瑞芳,瑞芳,,02-24972033,25.10861 121.80596,Y
7361,海科館,海科館,,02-24972033,25.13754 121.79997,N
7362,八斗子,八斗子,,02-24972033,25.13545 121.80261,N
7380,四腳亭,四腳亭,,02-24579346,25.10283 121.76192,N
7390,暖暖,暖暖,,02-24972033,25.10224 121.74048,N
